Unit,Country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Mt CO2,Canada,340.230956,357.909211,375.653582,385.344416,377.105855,389.220686,401.597004,403.135725,417.3144,422.262325,402.774749,385.66748,379.044855,394.376071,393.880167,385.751236,396.623973,426.681216,442.250267,419.599327,413.07562,425.828761,423.272552,438.478894,448.985855,462.901198,478.528769,484.686159,494.760399,516.259229,508.578571,514.445172,534.262322,526.180994,540.431495,531.138638,561.893801,541.874075,514.415405,528.618581,541.160841,539.740483,549.640805,555.469386,557.660685,548.095275,547.798641
Mt CO2,Chile,21.036435,20.642586,20.006579,19.709771,17.111657,17.892473,18.680602,19.391089,20.630206,21.405335,21.301263,18.387386,19.013298,20.216264,19.631224,20.226546,20.510085,24.80915,30.009387,29.435279,28.26857,29.209383,30.973457,34.00085,37.075351,42.914604,49.430175,50.089611,52.634704,48.623714,46.674236,47.4271,48.616652,53.349052,54.434634,55.677498,63.075016,66.533464,64.212781,68.604765,75.31667,77.235782,81.86194,75.468877,81.092176,85.24552,86.08714
Mt CO2,Mexico,93.748092,106.449776,117.63082,128.283263,134.558202,145.195089,154.303385,170.194443,183.823468,204.603854,219.538366,230.363813,223.835739,231.835747,241.153838,239.877146,249.470629,248.323834,262.053596,256.956533,275.145773,278.010852,285.59614,309.344834,291.33644,304.782774,323.022109,345.372244,335.899921,359.735527,360.600422,368.116069,386.601977,396.045849,412.385135,426.860195,433.36909,434.539402,425.193594,440.460336,456.460321,459.456276,449.626506,434.204441,442.41719,446.175879,445.991937
Mt CO2,United States,4289.035482,4527.984118,4691.090844,4539.98189,4355.839181,4616.828588,4781.620648,4771.142682,4800.31029,4595.789109,4533.920776,4321.08252,4294.487954,4485.577869,4514.313221,4478.048562,4633.016119,4842.013205,4904.547626,4803.082718,4765.774187,4837.748576,4952.760239,5024.11963,5073.896072,5230.535479,5495.04443,5545.442058,5563.874592,5729.87461,5702.169429,5545.478336,5610.749689,5688.77761,5703.220175,5602.449666,5686.716019,5512.512876,5120.690227,5352.120423,5128.17802,4903.010212,5038.523665,5046.56463,4928.610664,4838.476243,4761.301727
Mt CO2,Australia,143.364803,148.422047,157.734249,172.549574,179.467397,181.886685,195.919366,191.090637,197.378887,206.729609,207.361561,213.666649,201.759512,208.045087,220.128059,221.505411,231.814091,240.802247,254.272935,259.697211,261.037229,265.056312,268.97012,274.914397,285.324094,295.801549,303.09665,323.746128,328.805245,334.645123,340.982482,348.962582,347.969551,361.328033,365.515118,370.839121,381.067827,384.311003,391.081821,383.618673,382.107665,381.713911,375.785446,367.025776,373.846773,381.878629,384.583857
Mt CO2,Israel,13.759922,14.43047,15.653201,15.823381,16.410171,16.484552,17.385602,18.580527,19.00854,18.852429,19.640945,20.935974,21.780084,22.670877,24.310593,26.721819,28.996164,30.701533,31.953821,32.818141,33.32865,35.554276,39.046473,41.854081,44.873881,47.059855,49.247057,49.31432,50.709178,54.843946,56.131278,59.258252,61.001669,61.175031,58.796711,62.007447,64.268459,64.478539,63.854184,68.437949,67.512452,73.751873,64.879456,62.476909,63.927754,63.082005,63.766189
Mt CO2,Japan,750.99848,788.841544,897.85521,886.076965,849.909997,876.460172,901.125478,895.71128,917.872352,870.613152,846.591661,820.252682,826.177183,886.75693,866.233818,866.288567,871.445914,936.976607,964.695243,1042.340263,1053.975315,1066.134072,1057.588652,1107.154717,1118.24659,1131.661782,1120.832878,1081.563083,1118.420244,1135.606552,1125.665325,1165.260633,1174.410431,1166.071315,1166.814399,1144.715317,1186.361509,1122.344144,1070.343089,1127.152038,1183.493699,1225.860468,1234.04535,1194.051926,1155.666505,1146.887524,1132.4354
Mt CO2,Korea,52.942062,54.852829,68.234471,71.623931,77.728222,86.410592,98.633923,107.422637,121.255918,125.599661,131.379039,131.221844,139.158984,151.43805,155.7296,162.089281,168.385191,191.985975,203.227412,231.805813,255.832695,275.919887,302.904409,327.43709,357.306006,381.680344,402.317576,343.687195,378.15852,431.897005,445.862586,435.894683,437.778851,459.789616,457.672117,464.712085,477.413786,488.844473,502.089454,550.915653,573.760776,575.466327,574.551419,562.67858,582.047107,589.212169,600.034367
Mt CO2,New Zealand,13.501739,15.470591,16.696632,17.390727,16.429691,18.177912,18.71835,18.215969,16.358744,16.475724,16.255966,17.944028,18.063991,18.438749,18.905085,17.883741,19.129328,20.40965,20.531427,21.749094,22.06937,23.80636,23.423246,23.727691,23.933941,24.946629,27.183805,26.723623,28.116261,28.982092,31.182879,31.085853,32.965277,32.429867,33.690287,33.742482,32.602133,33.460866,30.460749,30.347958,29.588375,31.224908,30.964596,31.237609,31.258942,30.434542,32.241597
Mt CO2,Austria,48.607013,50.407481,53.809202,51.134609,49.488796,53.948382,51.327818,53.665985,55.916144,54.355279,51.554551,49.777713,49.400116,50.970218,52.649019,51.640992,52.387548,50.340348,50.396354,56.239523,60.41507,55.559835,55.768797,56.183019,59.549049,63.265768,62.456823,63.070928,61.44494,61.820269,66.191275,67.631905,72.707588,74.005823,74.764026,72.355239,69.327062,68.802565,62.922944,68.571165,67.012232,63.894994,64.646984,61.116222,62.22117,62.048731,64.872394
Mt CO2,Belgium,117.980409,127.971686,133.081563,130.928862,115.556917,124.648283,123.416566,128.767615,132.333205,125.549715,115.083487,108.702242,99.939941,101.884815,100.991897,101.276348,101.340339,103.036148,104.379202,106.488647,111.080073,109.240269,107.026349,111.722421,111.313683,116.439404,113.472717,116.237806,112.401484,114.004607,115.382773,107.857199,112.569091,111.185727,107.676772,105.533637,101.500283,103.901054,96.871149,103.890892,92.80816,92.315416,93.571738,87.359109,92.789797,91.932287,90.368188
Mt CO2,Czech Republic,153.472803,152.415259,149.353694,148.492885,154.982193,159.828856,169.335137,165.308103,174.865251,167.969147,168.595288,171.257307,172.464159,175.139297,175.254229,175.249367,176.287479,172.840757,165.297689,150.20313,136.901718,131.672672,128.787162,122.499166,123.17479,124.62453,122.708428,116.852822,109.982816,121.230494,121.092364,117.124548,121.280735,121.810545,118.369879,118.850264,121.58171,116.364225,109.643459,112.460232,109.318664,105.653832,101.384367,98.267535,99.42453,101.157395,101.682752
Mt CO2,Denmark,55.421772,57.404664,56.252823,50.01681,52.645648,58.309554,59.935162,59.55137,63.078842,63.060801,52.871383,55.048467,51.689977,53.285354,61.031807,61.596683,59.815039,55.990847,50.176541,50.983247,61.203694,55.32047,57.702239,61.616444,58.385219,71.637803,61.886608,57.966888,54.780958,50.797261,52.374025,52.089153,57.488996,51.847667,48.494944,56.404306,51.639933,48.659925,46.925448,47.254487,42.056027,36.89122,38.633898,34.440574,31.948409,33.486945,31.26357
Mt CO2,Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.013973,31.366231,23.464929,18.0964,17.558587,15.889313,16.848233,16.432461,15.855318,14.83727,14.447535,14.910337,14.504812,16.492733,16.547676,16.747695,15.469899,19.253197,17.683925,14.694047,18.563998,17.630306,16.363747,18.77879,17.387483,15.147858,15.460878,15.972029
Mt CO2,Finland,39.854757,43.610247,47.924706,44.208844,44.188917,50.402788,50.02907,54.638502,54.120236,54.865628,45.547032,44.086131,42.605679,43.959901,48.284914,48.450357,52.188243,51.473099,51.503329,53.83361,54.563823,51.806988,53.100465,59.564032,55.714578,62.192974,60.173993,56.817756,56.031327,54.592688,60.584543,62.954778,71.241465,67.154133,54.918043,66.45099,64.497212,56.043465,53.795592,62.000673,54.562684,48.904772,49.729813,45.706777,42.365643,45.127234,42.598175
Mt CO2,France,423.373262,438.776231,474.377986,456.558521,423.108047,463.082467,448.854244,467.903295,474.560633,455.214051,407.159088,389.602131,373.927891,361.496257,351.797985,341.624471,335.131586,333.55392,349.263213,345.59939,370.301331,359.31274,340.932562,335.700427,343.648115,359.52364,351.029466,372.496344,366.61764,364.674799,368.205343,362.524159,368.282713,369.081263,371.89291,362.610974,353.75169,349.495513,336.074448,340.21809,322.273392,325.318234,325.277258,293.184242,299.640583,301.695852,306.123541
Mt CO2,Germany,978.142404,1001.573959,1052.182398,1025.899087,973.365909,1029.249705,1013.471761,1051.706583,1099.049164,1048.150693,1015.86694,974.527147,976.079878,995.679968,1004.256098,1006.959344,997.133446,989.620447,965.797773,940.007684,917.644162,877.601541,871.821904,859.106392,856.596915,887.062102,854.919715,846.943854,814.959373,812.311609,831.479218,817.9019,820.732425,804.672932,786.664297,799.102652,766.721505,775.186804,720.205407,758.802602,731.224666,744.674177,763.769203,723.177099,729.684098,734.487052,718.794085
Mt CO2,Greece,25.064815,28.936554,33.724807,32.259338,34.099717,38.825879,40.195782,42.652071,44.8846,45.176142,44.651873,45.941543,49.128441,50.82252,54.479901,54.349543,59.811273,63.806074,68.754275,69.857367,70.101974,72.315889,72.215903,73.81484,76.478485,76.379728,77.353692,80.744241,81.029466,87.923582,90.041816,90.283202,93.848627,93.480598,95.156324,94.103838,97.902891,94.35162,90.15818,83.36947,82.117228,76.986345,68.845177,65.726678,64.543218,63.076623,63.21331
Mt CO2,Hungary,60.253993,62.096771,66.405318,68.758533,70.172709,73.341083,76.925831,84.813745,83.386443,82.613644,81.711327,82.055388,78.436297,80.477088,79.755472,78.257251,79.11138,74.451866,72.969751,65.669979,63.450196,57.143078,57.360438,56.603263,56.245319,57.343904,55.81608,56.131297,56.686536,53.280264,54.923444,54.17392,56.774935,55.060802,54.722182,54.161519,52.522404,51.753214,46.866409,47.145132,46.343688,42.748798,40.246668,40.059463,42.708351,43.777954,45.783636
Mt CO2,Iceland,1.404192,1.498085,1.666275,1.661571,1.614157,1.59045,1.634358,1.75792,1.826956,1.746981,1.73625,1.563521,1.595157,1.694824,1.627919,1.701378,1.743663,1.827492,1.82425,1.895898,1.865972,1.899651,1.944589,2.054057,1.964286,2.2259,2.108493,2.100158,2.054977,2.161026,2.10556,2.205535,2.194304,2.269524,2.23538,2.272645,2.319835,2.121787,2.07988,1.949182,1.868728,1.859894,2.031822,2.047533,2.057458,2.064863,2.173307
Mt CO2,Ireland,21.642664,21.399217,20.829591,22.601027,21.14887,21.876159,23.487669,23.205516,27.053334,25.895837,25.700614,25.275324,25.123352,24.904511,26.453225,27.464475,29.104186,28.103304,29.240265,30.111854,30.730081,30.835749,30.994577,32.050536,32.636823,33.99215,35.000215,37.607302,39.114385,40.914679,43.062092,42.181915,42.091792,42.568425,44.420119,45.456782,44.642464,44.243869,39.679776,39.516725,35.381343,35.911606,34.597873,34.074808,35.342128,36.863114,35.720302
Mt CO2,Italy,289.40186,306.537251,328.081933,331.43441,317.060307,341.984762,332.594158,338.274617,353.929429,355.353186,345.953201,341.146179,336.38258,341.984101,342.046885,343.29086,362.713597,366.820724,384.750302,389.411983,388.384128,385.844311,382.857911,378.495511,401.104969,398.163469,401.287301,411.832176,417.730612,420.436632,420.18139,427.183051,445.257756,454.994798,456.431826,449.184459,441.461104,428.854473,383.717096,391.99233,384.107414,366.677218,337.575729,319.155267,329.662257,325.657168,321.481224
Mt CO2,Latvia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.777406,17.201457,13.832925,11.741535,10.14694,8.90254,8.903572,8.420937,8.027839,7.410166,6.841156,7.247275,7.234721,7.464371,7.479639,7.58061,8.030694,8.36029,7.938214,7.185957,8.087541,7.340252,6.99556,6.909808,6.723727,6.845608,6.799011,6.679644
Mt CO2,Lithuania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.215171,34.286939,19.227404,15.372335,14.43084,13.434207,13.914716,13.557513,14.294702,11.899931,10.221743,10.870211,10.931246,10.938091,11.56326,12.443951,12.502004,12.684005,12.610744,11.40734,12.314715,11.525294,11.531329,10.868843,10.462848,10.550273,10.750005,10.811096
Mt CO2,Luxembourg,16.472252,16.117636,17.447977,16.012065,12.739168,13.641986,12.956887,14.160969,13.262431,12.450372,10.536409,9.8801,9.23984,10.109488,10.335311,10.018153,9.425361,9.872817,10.640486,10.745619,11.238352,10.915149,11.213037,10.3234,8.225746,8.308623,7.800141,7.121573,7.454772,8.065071,8.689852,9.374964,9.852439,11.232303,11.493299,11.30179,10.704137,10.640149,10.08492,10.664187,10.514577,10.311125,9.781443,9.288168,8.804662,8.501982,8.631187
Mt CO2,Netherlands,127.679118,142.500883,148.450095,140.148814,131.96201,140.723494,138.521472,143.012102,153.154959,145.417303,143.265879,134.919353,130.472621,135.309153,138.396723,141.461874,145.369314,143.337963,146.408543,147.774816,153.812146,152.595442,157.538409,156.688132,163.58274,173.220894,165.882191,166.264879,160.906912,161.617322,166.590316,166.903642,169.919079,171.658709,167.48966,163.262344,164.115298,164.822973,160.072111,170.762343,158.412075,157.155685,156.790967,149.502726,157.858417,158.034178,155.574278
Mt CO2,Norway,23.001052,23.558764,23.368386,22.698546,23.603322,25.342984,26.583372,27.084161,28.798385,27.235484,25.468887,24.325871,24.409682,25.060867,26.41565,29.715102,27.581476,27.732835,27.092949,27.467411,25.954421,28.86254,30.53143,32.115959,31.408419,32.365369,34.117481,35.756729,37.220763,31.879214,32.889232,32.503989,35.070291,35.59359,34.500489,35.46211,36.037798,35.305649,35.683365,37.29115,36.219049,35.89114,35.75981,35.559619,35.890983,35.281342,34.760858
Mt CO2,Poland,287.362329,299.576749,312.790456,325.211998,338.900005,362.484716,375.04704,400.148279,406.116245,416.002259,385.785133,391.823647,394.117859,409.705611,422.392233,428.165065,443.657954,432.783268,413.572442,344.761599,346.210886,337.830357,338.869406,333.109212,333.337838,349.101188,337.887996,312.080092,302.800082,289.591377,288.640036,282.610945,293.129945,296.744997,296.261105,308.078167,306.294687,301.597403,291.471973,307.493273,303.187965,296.94125,292.406679,279.258971,282.70842,293.21141,305.841991
Mt CO2,Portugal,14.39064,14.549996,16.191536,16.487656,18.03111,19.347863,18.751929,19.756023,21.888958,23.753098,24.876933,25.369701,26.080652,25.040854,23.924909,27.251645,27.757947,28.861277,37.138387,37.892592,39.49669,43.638028,42.597798,44.01086,47.23115,45.354497,47.370573,52.063633,58.380644,57.852184,57.756555,61.694897,56.907576,58.12475,61.385798,56.444866,54.63161,52.832438,53.076554,47.561335,47.054931,45.670308,43.741204,42.835055,46.930899,46.42253,50.757815
Mt CO2,Slovak Republic,38.86586,39.294049,40.971941,41.841452,43.153699,43.689704,45.418863,50.650177,51.543254,55.77679,54.433055,52.820219,52.701815,54.566712,54.413304,51.687045,53.500042,54.299712,53.652459,54.811844,47.938153,44.789172,43.290931,40.586974,41.215629,41.07411,41.05845,39.581515,38.833148,36.882231,37.368026,36.900369,37.409645,36.213452,37.262253,36.484264,35.705258,35.423774,32.608964,34.572279,32.854943,31.251081,31.7854,29.171089,29.444719,30.159706,32.212012
Mt CO2,Slovenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.666341,14.104534,13.912162,13.886753,13.528758,12.737375,12.440548,13.2675,13.223313,14.063911,14.853948,15.284084,15.042995,14.445537,14.050959,14.875062,15.081149,14.96615,15.234875,15.443058,15.799301,15.75268,16.7983,15.109682,15.446955,15.427293,14.8584,14.211939,12.756345,12.805132,13.585628,13.410666
Mt CO2,Spain,119.087492,125.005222,139.380677,150.904352,155.843041,172.513826,165.222225,164.244725,174.772942,186.254122,190.241666,184.473437,187.942251,178.735175,173.024021,177.339513,178.122654,181.317427,198.712406,202.627254,210.399736,221.929588,208.165769,216.952715,228.207254,217.984598,235.853132,242.405531,263.870515,278.584641,279.77709,297.22367,302.617985,319.270648,333.710098,325.036584,337.863422,309.774422,276.086065,262.054512,264.874087,260.511883,235.161648,232.063953,247.067141,237.400337,253.423277
Mt CO2,Sweden,82.047455,82.173712,83.562243,76.514404,79.041446,85.860411,82.90431,77.583881,80.106144,73.120121,66.199147,60.477769,54.964725,54.040213,58.385814,59.86253,58.027618,55.592392,52.787524,52.077321,53.099292,55.656924,55.412879,57.379813,56.934868,62.422399,56.276569,57.230416,56.125853,51.989465,51.165348,52.743719,53.996718,52.309331,49.105656,46.627675,44.987525,42.956349,40.725659,46.062647,42.353652,39.246247,37.567152,37.29509,37.112379,37.989269,37.643785
Mt CO2,Switzerland,38.918813,39.387906,42.985846,38.506848,36.753441,38.581554,38.995933,40.108769,38.6529,39.262145,36.929691,34.94201,39.073131,38.547587,41.77273,41.673944,40.019383,39.87331,39.475012,40.747466,43.42036,43.595927,41.540098,40.483931,41.451234,42.215175,41.142274,42.641295,42.923073,41.984677,43.397514,41.883057,43.188018,43.534175,44.006757,43.629113,41.660479,43.113007,41.825778,43.257966,39.234013,40.665937,41.665708,37.868645,37.323113,37.851822,37.135572
Mt CO2,Turkey,41.736699,49.055633,52.754934,55.306318,59.631229,66.674617,72.221079,73.033463,67.555819,71.522558,71.126823,77.569191,83.281541,87.715162,95.358471,103.308135,113.729963,108.735235,120.704121,128.767185,131.78632,136.537119,142.539299,140.343028,154.030155,170.687558,178.338801,178.407405,178.068881,201.222491,182.686152,192.604715,203.147139,207.40141,215.892986,240.254878,266.198341,262.367012,261.278593,267.846219,287.198851,298.432784,285.18345,307.171546,318.973757,338.874454,378.63109
Mt CO2,United Kingdom,621.136913,602.249049,634.238978,595.189739,576.041678,582.095187,592.90971,591.088378,623.134969,570.574002,554.44485,541.404192,533.135429,516.151536,543.545262,558.074689,562.619047,561.12725,547.411859,549.390011,560.129215,547.520737,530.617893,523.225784,513.796422,533.808846,511.895623,514.529284,511.948885,520.562588,535.303236,521.177335,533.471636,533.390964,531.648669,532.89988,521.733018,507.897104,460.083887,476.626011,439.178828,461.442481,447.002723,408.662693,394.115172,372.557789,358.731281
Mt CO2,Albania,3.86277,4.446404,3.923777,4.11133,4.338334,4.677358,4.958544,5.619529,6.694873,6.811556,5.843743,6.10404,6.659463,7.213175,6.929926,6.951616,7.232079,7.160662,6.839342,5.67294,3.811206,2.137383,1.976262,2.033466,1.848549,1.863265,1.427657,1.759716,2.921647,3.083446,3.224186,3.750324,3.822396,4.00711,3.825184,3.792392,3.775922,3.708694,3.76623,3.930295,4.141866,3.484832,3.646202,4.123018,3.824801,3.674183,4.342011
Mt CO2,Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.845219,20.68956,10.656529,4.918989,2.675926,3.368027,2.403509,3.15662,3.283226,2.931684,3.422249,3.458504,2.907291,3.275246,3.465509,4.129845,4.151024,4.797638,5.27332,4.269475,4.048253,4.672815,5.438573,5.243728,5.220168,4.70213,4.833071,5.165593
Mt CO2,Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.483702,52.059429,42.438849,37.359606,33.277753,32.37242,27.072982,26.273674,26.255564,25.764911,27.305747,25.834096,25.514806,27.832395,27.404575,29.018489,29.39629,26.695627,28.81145,24.521671,23.532476,26.449925,28.894746,29.462078,30.793666,30.806159,31.409359,30.805851
Mt CO2,Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.853969,96.241963,86.861432,75.376774,64.029685,56.957863,57.83037,58.209196,56.302595,54.086561,52.118701,50.910285,50.783735,51.374732,54.465744,55.01416,57.239326,55.727348,58.444191,55.318366,59.498259,56.382399,57.595686,57.549168,56.801809,52.618265,53.062826,54.070453
Mt CO2,Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.96557,21.440971,15.905387,13.343319,3.064876,3.279823,4.129145,8.415171,10.645188,10.401709,13.718183,13.500826,14.21871,14.546432,15.186631,15.857733,17.462209,18.415091,20.240004,20.204495,20.482682,23.400889,21.645003,21.510392,19.172421,19.306465,22.019403,22.327978
Mt CO2,Bulgaria,63.830958,65.873207,67.731105,68.77888,73.315187,73.199135,75.957976,79.019714,82.248604,85.032429,81.057132,82.702959,81.280696,79.378318,82.206429,83.16401,84.220593,83.155829,82.559497,71.463722,57.371692,54.057769,54.540543,52.108309,52.737289,53.136273,51.687501,49.489089,43.210523,42.138072,44.972856,42.436775,46.646286,45.773631,46.473483,47.622547,50.958573,48.500374,42.373446,44.362486,49.165656,44.415409,39.159236,41.539009,43.715357,40.548756,42.819932
Mt CO2,Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.328917,14.62919,14.124214,14.803147,13.987237,14.774177,14.650527,16.24561,17.609329,17.371297,16.782763,17.753863,18.853992,20.181196,19.58836,19.917214,19.977214,21.222283,20.164387,19.064566,18.248777,17.950446,16.419845,15.901102,15.117108,15.512642,15.858564,16.193172
Mt CO2,Cyprus,1.744456,2.170397,2.275467,1.735447,1.658258,1.93937,2.115335,2.233691,2.428702,2.574554,2.528048,2.571672,2.62128,2.739296,2.765082,3.033896,3.595126,3.650016,3.814409,3.89137,4.444337,4.748779,4.941288,5.145025,5.048341,5.348298,5.471654,5.814504,6.072801,6.305013,6.188862,6.343101,7.017641,6.907324,7.047944,7.113808,7.4253,7.579383,7.502392,7.260554,7.000736,6.515882,5.630061,5.776906,5.900866,6.2692,6.367874
Mt CO2,Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.488258,25.505906,19.869603,15.971906,10.403349,8.136847,6.328856,5.482123,4.909639,4.384622,4.632649,3.381844,2.819756,3.01999,3.204913,4.065656,4.525622,5.453393,4.666914,5.292218,4.995027,5.953731,6.609908,6.68514,7.719799,8.383116,8.809005,8.7203
Mt CO2,Gibraltar,0.068532,0.05923,0.059001,0.059048,0.062036,0.062083,0.058987,0.05583,0.077759,0.093542,0.087168,0.096578,0.087108,0.08389,0.090096,0.115457,0.127532,0.142825,0.136391,0.142765,0.202559,0.239888,0.242984,0.287117,0.280803,0.287056,0.296418,0.312033,0.324492,0.340046,0.349409,0.355662,0.361914,0.393159,0.405663,0.424375,0.421157,0.430445,0.471038,0.474195,0.45858,0.467989,0.499159,0.536595,0.589619,0.645692,0.7039
Mt CO2,Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,237.250885,246.365956,252.398442,216.238023,194.435994,170.519468,148.261303,125.620091,128.265938,115.894314,112.014087,109.245504,119.577281,134.803148,146.417341,156.902433,172.937357,187.204832,230.259087,202.716188,221.101402,234.81722,233.846139,249.15968,229.816281,245.762673,254.927792,255.767646
